rank,appid,last_week_rank,peak_in_game
1,730,1,1553991
2,578080,2,749301
3,570,3,569712
4,431960,4,119583
5,359550,14,130055
6,1172470,7,188168
7,2767030,6,107959
8,2622380,5,118690
9,236390,8,77898
10,553850,9,67486
11,3489700,-1,170880
12,2507950,13,155310
13,1172710,35,158624
14,1938090,10,70146
15,1203220,12,107742
16,3241660,11,46437
17,271590,17,98831
18,381210,16,58742
19,413150,18,84634
20,252490,15,134026
21,2669320,19,65571
22,322170,20,44332
23,440,21,54347
24,105600,23,34123
25,1086940,22,70305
26,3240220,25,61544
27,238960,144,134645
28,550,24,35273
29,322330,36,63633
30,230410,26,48881
31,1245620,27,44162
32,227300,30,35884
33,438100,31,45649
34,394360,33,48174
35,1449850,28,23453
36,1174180,29,40649
37,1973530,39,24694
38,3419430,32,182115
39,1222670,43,36003
40,2357570,37,26032
41,1281930,42,39510
42,2878980,44,41086
43,252950,45,27670
44,1091500,40,32095
45,346110,38,55976
46,1366800,46,57217
47,250900,47,22010
48,2379780,48,18698
49,284160,50,22811
50,1551360,59,24407
51,291550,56,15669
52,251570,75,41010
53,3513350,78,23387
54,4000,55,28807
55,2252570,53,69429
56,1903340,41,33449
57,1364780,52,33787
58,2073850,73,22886
59,221100,57,57150
60,108600,60,28293
61,244210,65,15783
62,1671210,34,24572
63,489830,58,26447
64,739630,61,17618
65,289070,63,35013
66,1665460,67,16875
67,646570,62,19140
68,3164500,54,23425
69,2139460,64,36360
70,714010,71,7637
71,1085660,68,24082
72,629520,72,23038
73,294100,86,30629
74,292030,66,23592
75,1905180,77,23826
76,526870,99,32416
77,261550,92,29736
78,2358720,79,26346
79,2642680,74,7106
80,960090,91,10931
81,1142710,76,24377
82,813780,80,20008
83,2918300,49,14661
84,2246340,69,17066
85,582010,90,25763
86,2300320,81,29933
87,1623730,88,26176
88,1329410,84,12895
89,2141910,119,12566
90,1158310,93,19807
91,892970,89,22111
92,239140,104,14798
93,393380,100,14666
94,457140,-1,20594
95,2399830,108,21483
96,427520,96,23860
97,2584990,-1,4122
98,548430,136,13040
99,2993780,85,22732
100,281990,98,17685
